regionName,dataDate,MinT,MaxT
北部地區,2026-09-16,23,27
北部地區,2026-09-17,23,30
北部地區,2026-09-18,24,31
北部地區,2026-09-19,24,31
北部地區,2026-09-20,24,30
北部地區,2026-09-21,22,30
北部地區,2026-09-22,22,30
中部地區,2026-09-16,22,29
中部地區,2026-09-17,22,32
中部地區,2026-09-18,22,33
中部地區,2026-09-19,23,33
中部地區,2026-09-20,23,32
中部地區,2026-09-21,21,32
中部地區,2026-09-22,21,32
南部地區,2026-09-16,24,29
南部地區,2026-09-17,24,33
南部地區,2026-09-18,25,34
南部地區,2026-09-19,25,34
南部地區,2026-09-20,25,33
南部地區,2026-09-21,24,32
南部地區,2026-09-22,24,32
東北部地區,2026-09-16,23,26
東北部地區,2026-09-17,23,29
東北部地區,2026-09-18,24,29
東北部地區,2026-09-19,24,30
東北部地區,2026-09-20,24,30
東北部地區,2026-09-21,22,30
東北部地區,2026-09-22,22,30
東部地區,2026-09-16,24,27
東部地區,2026-09-17,24,30
東部地區,2026-09-18,25,30
東部地區,2026-09-19,25,30
東部地區,2026-09-20,25,30
東部地區,2026-09-21,24,30
東部地區,2026-09-22,24,30
東南部地區,2026-09-16,25,28
東南部地區,2026-09-17,25,30
東南部地區,2026-09-18,25,31
東南部地區,2026-09-19,25,30
東南部地區,2026-09-20,25,31
東南部地區,2026-09-21,25,30
東南部地區,2026-09-22,25,30
